source_id;job_title;company;location;job_url;salary_avg;salary_range_id;f_education_d3;f_education_s1;f_education_s2;f_ipk_required;f_min_gpa;f_major_it;f_major_engineering;f_major_business;f_academic_achievement;f_scholarship;f_transcript_required;f_certificate_required;f_english_required;f_computer_skill_required;f_portfolio_required;f_project_required;f_organization_required;f_leadership_required;f_student_cadre_proxy;f_event_committee;f_communication_required;f_teamwork_required;f_internship_required;f_fresh_graduate_allowed;f_work_experience_required;f_experience_years_min;job_family;region_group;salary_range_label
7336;KOL Affiliate Acquisition (Freelance);PT. Upscale Digital Indonesia (Upscale House Project);Bandung;https://id.jobstreet.com/id/job/92332775?type=standard&ref=search-standalone&origin=cardTitle#sol=74f172f9b94d2518ba6b3c946335a73072865553;900000.0;0.0;0;0;0;0;0.0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;1;2;other;jawa barat;0 sampai < 1 juta
7351;Admin Intern;PT Sembilan Wali Nusantara;Poncokusumo;https://id.jobstreet.com/id/job/92267664?type=standard&ref=search-standalone&origin=cardTitle#sol=bca54e6a0a802bdd000dee4f61784b9d37d0a28e;900000.0;0.0;0;1;0;0;0.0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;business;lainnya;0 sampai < 1 juta
7374;Internship Tax & Acc;GCK Consulting;Tangerang;https://id.jobstreet.com/id/job/92155196?type=standard&ref=search-standalone&origin=cardTitle#sol=01ba0394edb8aca59c0123255340c5b714899ac8;600000.0;0.0;0;0;0;0;0.0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;finance;jabodetabek;0 sampai < 1 juta
7406;Telesales Intern;PT Sanpota Batara Indonesia;Yogyakarta;https://id.jobstreet.com/id/job/91974906?type=standard&ref=search-standalone&origin=cardTitle#sol=050d99380903542f8e5910b4080bb6ffd8595042;900000.0;0.0;0;0;0;0;0.0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;1;0;business;jawa tengah diy;0 sampai < 1 juta
7408;Internship;Jogja Digital Academy;Kabupaten Bantul;https://id.jobstreet.com/id/job/92152180?type=standard&ref=search-standalone&origin=cardTitle#sol=10221765d4ff4879c1ffb6c57d803d5a63e5ff3b;900000.0;0.0;0;0;0;0;0.0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;1;0;business;lainnya;0 sampai < 1 juta
7409;Partnership Intern;Yayasan Siaga Peduli;Cilacap;https://id.jobstreet.com/id/job/91943796?type=standard&ref=search-standalone&origin=cardTitle#sol=8f48bde513544f42a9c37658443a9d4c31765dcb;800000.0;0.0;0;0;0;0;0.0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;business;lainnya;0 sampai < 1 juta
7412;TEAM RECRUITMENT (MAGANG);Pengiklan Anonim;Jakarta Selatan;https://id.jobstreet.com/id/job/92243990?type=standard&ref=search-standalone&origin=cardTitle#sol=61f88b487a1d1ff44cdde54db126a49ddc70be8c;900000.0;0.0;0;0;0;0;0.0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;other;jabodetabek;0 sampai < 1 juta
7413;TEAM RECRUITMENT (MAGANG);PT Sapta Sinergi Group;Jakarta Selatan;https://id.jobstreet.com/id/job/92219153?type=standard&ref=search-standalone&origin=cardTitle#sol=61f923118e9ddae7d5599285d6ce99b75e7ebf78;900000.0;0.0;0;0;0;0;0.0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;other;jabodetabek;0 sampai < 1 juta
7414;Creative Design (Intern);PT Tiara agung Pratama;Bogor;https://id.jobstreet.com/id/job/91946371?type=standard&ref=search-standalone&origin=cardTitle#sol=c6932fe650ed5bfc79fe1bf176392b240776e84f;500000.0;0.0;0;0;0;0;0.0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;business;jabodetabek;0 sampai < 1 juta
7416;Magang Social Media Specialist;Air UntukNegeri;Cilacap;https://id.jobstreet.com/id/job/92150163?type=standard&ref=search-standalone&origin=cardTitle#sol=81ce214d8c3fa11015047c6a0679c629d53ac1f3;800000.0;0.0;0;0;0;0;0.0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;1;1;1;0;other;lainnya;0 sampai < 1 juta
