source_id,job_title,company,location,job_url,salary_avg,salary_range_id,f_education_d3,f_education_s1,f_education_s2,f_ipk_required,f_min_gpa,f_major_it,f_major_engineering,f_major_business,f_academic_achievement,f_scholarship,f_transcript_required,f_certificate_required,f_english_required,f_computer_skill_required,f_portfolio_required,f_project_required,f_organization_required,f_leadership_required,f_student_cadre_proxy,f_event_committee,f_communication_required,f_teamwork_required,f_internship_required,f_fresh_graduate_allowed,f_work_experience_required,f_experience_years_min,job_family,region_group,salary_range_label
253,Junior Quality Assurance,PT. Sinergi Innovate Pratama,Jakarta Selatan,https://id.jobstreet.com/id/job/92039826?type=standard&ref=search-standalone&origin=cardTitle#sol=1bcd579a776e8de77a2efe985956e390e4aad5f9,5750000.0,3.0,1,1,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,data,jabodetabek,4 sampai < 6 juta
265,Business Management Trainee (Internship) - Bandung & Jakarta Placement,PT Kitar Technology Indonesia,Jakarta Selatan,https://id.jobstreet.com/id/job/92055932?type=standard&ref=search-standalone&origin=cardTitle#sol=35359bd29d1627089f7fc4e201d6ff231521e6b4,3750000.0,2.0,0,1,0,1,0.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,business,jabodetabek,2 sampai < 4 juta
271,Fresh Graduate Management Training Program (Onsite),Deliveree (PT Angkut Teknologi Indonesia),Jakarta Selatan,https://id.jobstreet.com/id/job/92004567?type=standard&ref=search-standalone&origin=cardTitle#sol=086ba4b3013910afbb9ec3cd93d0dbe0f2c1d972,6000000.0,4.0,0,1,1,1,3.0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,business,jabodetabek,6 sampai < 8 juta
272,Admin Executive,Pengiklan Anonim,Batam,https://id.jobstreet.com/id/job/91796044?type=standard&ref=search-standalone&origin=cardTitle#sol=374da4a709899533aab01d2afb0dffaf67f2ab09,5250000.0,3.0,0,0,1,0,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,business,sumatera,4 sampai < 6 juta
283,Product Engineer,Catalyst Psychology & HR Management Services,Bekasi,https://id.jobstreet.com/id/job/92132347?type=standard&ref=search-standalone&origin=cardTitle#sol=70c773976b3bbc8c0d28dc567a88ce53e0777b3c,6300000.0,4.0,0,1,0,1,3.3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,software,jabodetabek,6 sampai < 8 juta
288,Data Base Collector,PT MURANO GLASSINDO MAKMUR,Cirebon,https://id.jobstreet.com/id/job/92037140?type=standard&ref=search-standalone&origin=cardTitle#sol=9d3af47e9fae6c5a97d31681910b58ea203e9f9b,6300000.0,4.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,administration,lainnya,6 sampai < 8 juta
298,Business Analyst for HRIS System (Functional Consultant for Darwinbox ),PT Harrisma Informatika Jaya,Jakarta Barat,https://id.jobstreet.com/id/job/92292927?type=standard&ref=search-standalone&origin=cardTitle#sol=21339e13d6f9824189cbc912f4c48d119470aa99,15000000.0,6.0,0,0,0,0,0.0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,3,data,jabodetabek,>= 10 juta
300,Mathematics Tutor,Emmerich Education Center,Jakarta Utara,https://id.jobstreet.com/id/job/92251412?type=standard&ref=search-standalone&origin=cardTitle#sol=a7ab7a1d205283ce80b218401ef6d818a609688b,6500000.0,4.0,0,1,0,0,0.0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,engineering,jabodetabek,6 sampai < 8 juta
302,Business Development (Fresh Graduate),PT PMA Bluemedia Indonesia,Jakarta Selatan,https://id.jobstreet.com/id/job/92233730?type=standard&ref=search-standalone&origin=cardTitle#sol=fb5fae9af97ff5e6f219f3be15a0e38282982eca,7250000.0,4.0,0,0,0,0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,business,jabodetabek,6 sampai < 8 juta
303,Data Analyst,Brilliant Think Center,Ciputat Timur,https://id.jobstreet.com/id/job/92203280?type=standard&ref=search-standalone&origin=cardTitle#sol=f5599fe1ce2631e842376fe7ac5780c6f85a2c74,7750000.0,4.0,0,1,0,0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,data,lainnya,6 sampai < 8 juta
316,IT Product Associate,PT Netcom Scinergy Newsantara,Bekasi,https://id.jobstreet.com/id/job/91993714?type=standard&ref=search-standalone&origin=cardTitle#sol=e9f9cc620c8cae30bc11ecf1507802dcd786f54b,12500000.0,6.0,0,1,0,0,0.0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,software,jabodetabek,>= 10 juta
317,Data Analyst,PT Bersaudara Inti Corpora,Jakarta Barat,https://id.jobstreet.com/id/job/92028378?type=standard&ref=search-standalone&origin=cardTitle#sol=9fdbfbc49b36d2faf7e76ef0350555062160a820,11500000.0,6.0,0,0,0,0,0.0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,data,jabodetabek,>= 10 juta
