source_id,source_keyword,scraped_at,job_title,company,location,job_url,salary_text,salary_min,salary_max,salary_avg,salary_range_id,salary_range_label,salary_available,f_education_d3,f_education_s1,f_education_s2,f_ipk_required,f_min_gpa,f_major_it,f_major_engineering,f_major_business,f_academic_achievement,f_scholarship,f_transcript_required,f_certificate_required,f_english_required,f_computer_skill_required,f_portfolio_required,f_project_required,f_organization_required,f_leadership_required,f_student_cadre_proxy,f_event_committee,f_communication_required,f_teamwork_required,f_internship_required,f_fresh_graduate_allowed,f_work_experience_required,f_experience_years_min,job_family,region_group
11,admin staff fresh graduate,2026-05-25 21:06:48,Site Development Staff (Renewal Admin/Business Administration),PT. LUNA BOGA NARAYAN (Kopi Janji Jiwa),Jakarta Barat,https://id.jobstreet.com/id/job/92130387?type=standard&ref=search-standalone&origin=cardTitle#sol=c873f466b41ec31356276b5b8d6ef37ac31dc4fe,,,,,,unknown,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,administration,jabodetabek
12,admin staff fresh graduate,2026-05-25 21:06:52,Purchasing Staff,PT Gamma Mitra Lestari,Tangerang,https://id.jobstreet.com/id/job/92229489?type=standard&ref=search-standalone&origin=cardTitle#sol=d5b2d34bab9f28f8355acb98fa3abfee32319e5f,,,,,,unknown,0,0,1,0,0,0.0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,administration,jabodetabek
13,admin staff fresh graduate,2026-05-25 21:06:57,Admin Accounting,PT Roda Rollen Indonesia,Jakarta Pusat,https://id.jobstreet.com/id/job/92223259?type=standard&ref=search-standalone&origin=cardTitle#sol=0f4136aa608276dccba7ff0af3d44e8232eb3e8a,Rp 5.730.000 – Rp 6.000.000 per month,5730000.0,6000000.0,5865000.0,3.0,4 sampai < 6 juta,1,1,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,finance,jabodetabek
14,admin staff fresh graduate,2026-05-25 21:07:01,Staff Finance dan Accounting,PT Rajawali Lintas Kreasi,Jakarta Pusat,https://id.jobstreet.com/id/job/92094160?type=standard&ref=search-standalone&origin=cardTitle#sol=5d0de6756f21426346e985e0abbd7a4f5719f0d6,,,,,,unknown,0,1,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,2,software,jabodetabek
15,admin staff fresh graduate,2026-05-25 21:07:05,Admin Sales,PT Bina Steel Pipe,Jakarta Pusat,https://id.jobstreet.com/id/job/91755914?type=standard&ref=search-standalone&origin=cardTitle#sol=fcce62dbad3f1bbae4d718ad99117e4a394946e0,Rp 5.800.000 – Rp 6.500.000 per month,5800000.0,6500000.0,6150000.0,4.0,6 sampai < 8 juta,1,0,1,0,0,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,35,software,jabodetabek
16,admin staff fresh graduate,2026-05-25 21:07:09,Admin Part Order/Admin Partner,PT Java Abadi Gemilang,Jakarta Raya,https://id.jobstreet.com/id/job/92205343?type=standard&ref=search-standalone&origin=cardTitle#sol=cd6a969d5a7d08452a0460b8e90e8c83c231299d,,,,,,unknown,0,1,0,0,0,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,administration,jabodetabek
17,admin staff fresh graduate,2026-05-25 21:07:14,Internship for Administration Staff (Jabodetabek),PT Inamas Sumber Makmur,Jakarta Utara,https://id.jobstreet.com/id/job/92039682?type=standard&ref=search-standalone&origin=cardTitle#sol=85f0ca46f055e5a93a872f6c9c9855d08ee8d4d5,Rp 2.000.000 – Rp 3.000.000 per month,2000000.0,3000000.0,2500000.0,2.0,2 sampai < 4 juta,1,0,0,0,1,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,administration,jabodetabek
18,admin staff fresh graduate,2026-05-25 21:07:18,Collection Leaders Trainee Program,PT Adira Dinamika Multi Finance Tbk,Jakarta Selatan,https://id.jobstreet.com/id/job/92195555?type=standard&ref=search-standalone&origin=cardTitle#sol=d05321cc75ee20ee9b994486ab9d695ee04f4838,,,,,,unknown,0,0,1,0,1,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,finance,jabodetabek
19,admin staff fresh graduate,2026-05-25 21:07:22,Purchasing Staff,PT Sinar Metrindo Perkasa,Kembangan,https://id.jobstreet.com/id/job/91992191?type=standard&ref=search-standalone&origin=cardTitle#sol=22cbf266485fd7a5a1567a51197b54b465ec2844,,,,,,unknown,0,0,1,0,0,0.0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,engineering,lainnya
20,admin staff fresh graduate,2026-05-25 21:07:26,ADMIN PROJECT,PT DyKa Konsultama,Jakarta Barat,https://id.jobstreet.com/id/job/92056035?type=standard&ref=search-standalone&origin=cardTitle#sol=55d2c03d326b776065a6c79b70905616bc1165b7,Rp 5.000.000 – Rp 5.700.000 per month,5000000.0,5700000.0,5350000.0,3.0,4 sampai < 6 juta,1,0,1,0,0,0.0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,administration,jabodetabek
